# UNIX        Bx     By     Bz     Bt
1770145560   -6.1    5.9    2.9    9.0
1770146160   -6.3    5.9    3.1    9.1
1770146760   -6.1    6.3    2.7    9.2
1770147360   -5.6    6.7    1.9    9.0
1770147960   -5.5    6.6    1.9    8.8
1770148560   -6.0    5.8    3.1    8.9
1770149160   -5.0    6.8    2.8    8.9
1770149760   -5.1    6.7    3.1    9.0
1770150360   -5.1    6.9    2.4    8.9
1770150960   -4.4    7.2    2.4    8.8
1770151560   -5.0    6.7    2.6    8.8
1770151980   -7.8    2.1    4.5    9.2
